457.5,16.286
119,4.3571
356.5,12
167.5,5.9286
596.5,20.714
646,23.179
1262,44.643
681,23.929
635,22.786
414,14.357
99,3.5714
319.5,11.429
420,13.714
440,16.643
315,10.571
323,11.857
85.5,2.6429
158,5.7857
304.5,10.429
430.5,15.714
194,6.7143
501,18.786
921,33.571
282,10.5
114,4.2143
1172,41.214
126,5.0714
195.5,7.3571
565.5,20.714
690.5,24.571
108.5,3.7857
393,13.643
545.5,19.143
210,7.5714
128,4.7143
792,28.357
185.5,6.6429
215.5,7.7143
453.5,16.143
92,3.5
222,8.4286
342,12.5
291.5,11
785,29.429
335,11.786
317.5,11.929
290,10.786
320,12.357
172,6.2857
474,16.643
200.5,6.8571
241.5,9.2143
275.5,9.6429
124.5,4.5714
389.5,13.5
98,3.6429
113,4.0714
691.5,25.857
236.5,8.2857
141,5.1429
189,6.9286
95,3.5714
457.5,14.786
258.5,9.5
237.5,9.2143
585.5,21.786
115,4.4286
406.5,14.643
1004.5,36.357
476,16.643
913,32.964
118,4.5714
404.5,14.286
355,13.929
241,8.7143
537,19.643
88.5,3.2143
509,18.929
625,22.214
202,7.7143
113,4
191,7.25
418.5,14.714
126.5,5.0714
171.5,6.1429
170.5,6.2143
136.5,4.7143
101,3.8571
233,8.4286
165.5,5.7857
217,7.8571
416.5,14.786
175,6.9286
174.5,6.3571
125,4.5
69.5,2.7857
346.5,12.607
157,6.1429
650.5,22.571
42,1.7143
590.5,22.143
122.5,4.0714
217.5,7.7143
194.5,6.5
224,8.0714
597.5,21.214
342,12.357
427.5,15.571
814,27.5
218,8.2143
380.5,14.071
132.5,4.9286
152.5,5.5
230,7.9286
185.5,6.7857
172.5,6.7143
130.5,4.9286
91,3.4286
797.5,28.786
185,7.5
261,9.0714
284.5,10.857
628.5,22.643
1604.5,58
108,4.1429
160.5,5.1429
643,22.786
958.5,34
360,13.5
240,8.3571
456,16.786
402,14
111.5,4
225,7.7857
220,7.7143
154.5,5.9286
93.5,4.0714
566.5,19.429
200.5,6.8571
303,10.643
428.5,15.643
104,3.4286
286,10.071
541,19.714
143.5,5.6429
119,4.6429
62,2.2143
260.5,9.2143
272.5,10.286
142,5
156,6
147.5,5.4286
234,8.2857
190,6.6429
707,24.5
131.5,5.3571
272.5,9.0714
91.5,3.7143
254.5,9.5
415.5,14.571
127,4.3571
310,11.357
93,3.6429
242.5,9.5
271.5,10.429
167.5,5.6071
169.5,6.2143
234,9.5714
268.5,8.7857
551.5,19.071
524.5,19.5
160,6.1429
185,6.5
223.5,7.5
490.5,18.143
571,19.571
161,5.9286
300,11
335,11.571
72.5,2.5714
310.5,11.643
157,5.1429
302,10.714
595.5,20.571
200.5,7.2143
179,6.4643
90,3
328,11.143
267.5,9.5
87,3.1429
207.5,7.3571
165.5,6.1429
329.5,11.714
264,9.1429
416.5,15.643
206.5,7.4286
139.5,4.5714
141.5,5.1429
219.5,8
228.5,8.5714
166,6.2143
185.5,6.1429
145.5,5.5714
319.5,11.571
65,2.5714
278.5,9.9286
288.5,10.321
172,6
298,10.643
239,8.8571
187,6.8571
455,17.071
460,16.714
457,15.929
622,21.786
143,5.2857
314,11.214
436,15.071
294.5,10.357
218,7.4286
270.5,10.143
683,24.714
310.5,11.607
373,14.143
168.5,5.5714
615,20.286
142.5,5.2857
106,3.2143
150,5.5714
652,24.286
304,11.929
77.5,2.5
110.5,3.9286
134.5,4.6429
352.5,13.143
276.5,10.429
450.5,16.071
91,3.2857
61,2.7143
344,12.786
131.5,5.3571
153,5.2143
203.5,7.1429
143,5.5714
403.5,13.786
143,5
201.5,7
112.5,4.2143
167,6
218.5,8
133,4.7143
411,14.786
187,6.5
476.5,16.857
788,28.429
168.5,5.8571
147.5,4.8571
670,24.5
508,18.5
349,12.571
227.5,8.5714
343,12.143
394.5,14.429
116,4.6429
161.5,5.8929
177,6.5357
988,35.143
350,12.5
309.5,10.357
377,13.286
412,15.357
298.5,10.786
199,6.8571
268,9.6429
246,9.2857
258.5,9.8571
83,3.1071
946,32.714
453,16.929
382.5,13.857
209,8.5
162.5,6.2143
552,18.929
131,4.8571
195,7.2143
92.5,3.5
245,8.75
347.5,12.429
133.5,4.9286
170,6.1429
238.5,9.0714
118.5,4.4286
167,6.1429
527.5,19.714
333,11.786
668,24.786
540,18.929
256.5,8.6429
297,10.857
75.5,2.7143
649.5,22.643
217,7.3571
180,6.7143
155.5,5.7143
660.5,21.357
656.5,22.714
336.5,11.929
340,11.643
126.5,4.5714
87,3.2143
308,10.929
488,16.571
206,6.8571
204.5,7.7143
153.5,5.7857
126.5,4.7857
140,5.1429
400,13.929
506,17.786
646,22.5
349,13.214
684.5,23.857
162,6.1429
260,9.1429
532.5,18.714
296,10.571
252,9.4286
109.5,4.0714
104,4.2857
630,21.214
171.5,6.2857
244,8.7143
735,26.214
454,16.643
178,6.2143
218,7.5714
93.5,3.6429
247.5,8.7857
395,14.357
425,15.571
271,9.7143
356.5,12.786
128,4.7143
150,5.5714
227.5,8.6786
245.5,9.7143
238,8
253,8.6429
291.5,9.5714
166,5.6429
164.5,6.7143
577,20.321
680,24.5
633,23.214
673.5,25
324.5,11.857
195.5,7.5
147.5,5.1786
166,5.6429
120.5,4.2143
125.5,4.6429
324.5,10.714
360.5,13.357
334.5,12.143
143.5,5.1429
201.5,7.1429
211.5,7.0714
138.5,4.5714
106,3.6429
288,10
116.5,4.4286
126.5,4.8571
147.5,5.5
90.5,2.8929
258.5,9.7143
303,11.464
150,5.3929
280.5,10.143
333,11.5
317,11.571
214.5,7.3571
